id,StateDesc,CityName,1P:No Annual Checkup:Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,3O:Arthritis:Arthritis among adults aged >=18 Years,2B:Binge Drinking:Binge drinking among adults aged >=18 Years,3O:Chronic Pulmonary Disease:Chronic obstructive pulmonary disease among adults aged >=18 Years,3O:Cancer:Cancer (excluding skin cancer) among adults aged >=18 Years,1P:No Cholesterol Screening:Cholesterol screening among adults aged >=18 Years,3O:Chronic Kidney Disease:Chronic kidney disease among adults aged >=18 Years,"1P:No Colorectal Cancer Screening:Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50–75 Years","1P:No Preventive services-older men:Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening","1P:No Preventive services-older women:Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",3O:Coronary Heart Disease:Coronary heart disease among adults aged >=18 Years,3O:Asthma:Current asthma among adults aged >=18 Years,2B:Current Smoking:Current smoking among adults aged >=18 Years,1P:No Dental Visit:Visits to dentist or dental clinic among adults aged >=18 Years,3O:Diabetes:Diagnosed diabetes among adults aged >=18 Years,1P:No Health Insurance:Current lack of health insurance among adults aged 18–64 Years,3O:High Blood Pressure:High blood pressure among adults aged >=18 Years,3O:High Cholesterol:High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,1P:No Mammography:Mammography use among women aged 50–74 Years,3O:Mental Health:Mental health not good for >=14 days among adults aged >=18 Years,2B:Obesity:Obesity among adults aged >=18 Years,1P:No Pap Smear Test:Papanicolaou smear use among adult women aged 21–65 Years,3O:Physical Health:Physical health not good for >=14 days among adults aged >=18 Years,2B:Physical Inactivity:No leisure-time physical activity among adults aged >=18 Years,2B:Sleep < 7 hours:Sleeping less than 7 hours among adults aged >=18 Years,3O:Stroke:Stroke among adults aged >=18 Years,1P:Not Taking BP Medication:Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,3O:All Teeth Lost:All teeth lost among adults aged >=65 Years,CityFIPS,PopulationCount,health_score,city_ascii,state_name,lat,lng,county_fips,county_name,cz,czname,statename,stateabbrv_x,life_q1_f,life_q2_f,life_q3_f,life_q4_f,life_q1_m,life_q2_m,life_q3_m,life_q4_m,expectancy_f,expectancy_m,"4L:Life Expectancy Top 25%:Life expectancy in years, Top Quartile Income","4L:Life Expectancy Bottom 25%:Life expectancy in years, Bottom Quartile Income",4L:Life Expectancy Average: Average Life Expectancy in Years,disparity_m,disparity_f,disparity_avg,FIPS,stateabbrv_y,health_rank
0,Average,United States,30.0,24.7,16.3,6.3,6.6,23.0,2.7,36.3,67.7,69.3,6.3,8.8,16.8,35.599999999999994,10.4,14.799999999999997,31.9,37.1,24.200000000000003,11.4,28.8,18.200000000000003,12.0,25.9,34.8,3.0,22.799999999999997,14.9,,308745538,58,,,35.0,-71.0,,,,,,,81.6,84.2,85.8,87.4,75.9,80.1,82.7,84.7,84.7,80.8,86.1,78.7,82.8,8.9,5.9,7.4,,,256
1,New York,New York,28.0,20.4,16.8,5.6,5.3,24.700000000000003,2.7,38.8,71.9,74.2,5.3,10.0,16.4,38.8,10.7,15.700000000000003,28.4,34.4,25.400000000000006,12.8,24.7,19.900000000000006,13.1,30.5,41.0,3.0,26.299999999999997,15.9,3651000,8175133,60,New York,New York,40.76149276,-73.98143112,36061,New York,19400.0,New York City,New York,NY,84.93,85.1,85.82,87.84,80.37,81.2,82.68,85.56,85.9,82.5,86.7,82.6,84.2,5.2,2.9,4.1,36061,NY,241
2,California,Los Angeles,36.3,17.5,17.3,4.9,5.1,27.900000000000006,2.7,44.1,76.0,75.5,4.8,8.5,14.8,42.2,10.4,19.099999999999994,26.7,32.6,23.099999999999994,13.2,25.0,21.200000000000003,12.9,22.5,37.7,2.8,32.5,11.3,0644000,3792621,62,Los Angeles,California,34.0522342,-118.24368490000002,06037,Los Angeles,38300.0,Los Angeles,California,CA,84.94,84.93,85.97,87.61,80.51,81.42,82.8,85.53,85.9,82.6,86.6,82.7,84.2,5.0,2.7,3.9,06037,CA,222
0,Average,United States,30.0,24.7,16.3,6.3,6.6,23.0,2.7,36.3,67.7,69.3,6.3,8.8,16.8,35.599999999999994,10.4,14.799999999999997,31.9,37.1,24.200000000000003,11.4,28.8,18.200000000000003,12.0,25.9,34.8,3.0,22.799999999999997,14.9,,308745538,58,,,35.0,-71.0,,,,,,,81.6,84.2,85.8,87.4,75.9,80.1,82.7,84.7,84.7,80.8,86.1,78.7,82.8,8.9,5.9,7.4,,,256
1,New York,New York,28.0,20.4,16.8,5.6,5.3,24.700000000000003,2.7,38.8,71.9,74.2,5.3,10.0,16.4,38.8,10.7,15.700000000000003,28.4,34.4,25.400000000000006,12.8,24.7,19.900000000000006,13.1,30.5,41.0,3.0,26.299999999999997,15.9,3651000,8175133,60,New York,New York,40.76149276,-73.98143112,36061,New York,19400.0,New York City,New York,NY,84.93,85.1,85.82,87.84,80.37,81.2,82.68,85.56,85.9,82.5,86.7,82.6,84.2,5.2,2.9,4.1,36061,NY,241
2,California,Los Angeles,36.3,17.5,17.3,4.9,5.1,27.900000000000006,2.7,44.1,76.0,75.5,4.8,8.5,14.8,42.2,10.4,19.099999999999994,26.7,32.6,23.099999999999994,13.2,25.0,21.200000000000003,12.9,22.5,37.7,2.8,32.5,11.3,0644000,3792621,62,Los Angeles,California,34.0522342,-118.24368490000002,06037,Los Angeles,38300.0,Los Angeles,California,CA,84.94,84.93,85.97,87.61,80.51,81.42,82.8,85.53,85.9,82.6,86.6,82.7,84.2,5.0,2.7,3.9,06037,CA,222
3,Illinois,Chicago,32.3,20.2,21.8,5.5,5.0,27.299999999999997,2.8,44.6,70.6,75.1,5.6,9.4,18.5,43.8,11.3,17.799999999999997,31.5,34.0,25.200000000000003,12.2,33.5,21.700000000000003,12.2,27.8,37.5,3.3,26.799999999999997,18.5,1714000,2695598,50,Chicago,Illinois,41.850033,-87.6500523,17031,Cook,24300.0,Chicago,Illinois,IL,82.41,83.84,85.15,87.27,77.71,79.75,81.97,84.59,84.7,81.0,85.9,80.1,82.8,6.9,4.9,5.8,17031,IL,353
4,Texas,Houston,32.400000000000006,18.5,15.8,5.7,4.8,31.799999999999997,2.8,44.3,72.2,70.2,5.6,8.8,17.6,46.7,12.5,30.5,30.4,36.9,25.799999999999997,12.4,34.1,24.599999999999994,13.2,32.4,36.5,3.2,26.799999999999997,15.9,4835000,2099451,46,Houston,Texas,29.7632836,-95.3632715,48201,Harris,32000.0,Houston,Texas,TX,82.21,83.72,85.16,87.58,77.14,79.53,81.69,85.08,84.7,80.9,86.3,79.7,82.8,7.9,5.4,6.6,48201,TX,401
5,Pennsylvania,Philadelphia,25.099999999999994,26.0,17.9,7.2,5.6,28.799999999999997,3.0,38.6,71.0,71.3,6.3,10.9,22.2,44.6,12.2,17.599999999999994,32.9,34.6,20.799999999999997,14.6,30.6,22.5,13.7,30.6,43.9,4.0,23.599999999999994,19.0,4260000,1526006,46,Philadelphia,Pennsylvania,39.952335,-75.16378900000001,42101,Philadelphia,19700.0,Philadelphia,Pennsylvania,PA,80.95,83.52,85.15,87.35,75.55,79.01,81.75,85.07,84.2,80.3,86.2,78.2,82.2,9.5,6.4,8.0,42101,PA,402
6,Arizona,Phoenix,35.2,19.6,14.6,6.3,5.5,29.299999999999997,2.8,42.1,69.0,69.7,5.1,9.4,17.8,44.1,9.8,22.0,27.5,35.4,24.700000000000003,13.4,29.8,22.299999999999997,13.3,26.4,36.2,2.8,30.799999999999997,14.4,0455000,1445632,56,Phoenix,Arizona,33.4483771,-112.07403729999999,04013,Maricopa,35001.0,Phoenix,Arizona,AZ,82.6,84.37,85.99,87.42,77.36,80.31,82.7,85.1,85.1,81.4,86.3,80.0,83.2,7.7,4.8,6.3,04013,AZ,280
